id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,The Porch Collective,folk,nostalgic,0.38,96,0.73,0.44,0.93
12,Bass Drop Kingdom,Ultrawave,edm,euphoric,0.97,140,0.88,0.95,0.03
13,Rainy Window,Clara Voss,classical,melancholic,0.22,66,0.31,0.28,0.97
14,Block Party,Cypher Jones,hip-hop,upbeat,0.85,102,0.79,0.91,0.12
15,Desert Highway,Red Dust Band,country,nostalgic,0.54,108,0.68,0.57,0.74
16,Neon Funk,Groove Circuit,funk,playful,0.78,118,0.83,0.93,0.21
17,Ember Glow,Sable Monroe,r&b,romantic,0.61,88,0.76,0.69,0.44
18,Last Train,Hollowbone,blues,sad,0.33,72,0.24,0.38,0.88
